record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_625_33,mof_uio66_nh2_sonochemical,CO2,,50,C,0.625,bar,1.474,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_750_34,mof_uio66_nh2_sonochemical,CO2,,50,C,0.750,bar,1.745,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_875_35,mof_uio66_nh2_sonochemical,CO2,,50,C,0.875,bar,1.983,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_1_000_36,mof_uio66_nh2_sonochemical,CO2,,50,C,1.000,bar,2.200,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_000_37,mof_uio66_nh2_sonochemical,N2,,25,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_125_38,mof_uio66_nh2_sonochemical,N2,,25,C,0.125,bar,,mmol/g,,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_250_39,mof_uio66_nh2_sonochemical,N2,,25,C,0.250,bar,,mmol/g,,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_375_40,mof_uio66_nh2_sonochemical,N2,,25,C,0.375,bar,,mmol/g,,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_500_41,mof_uio66_nh2_sonochemical,N2,,25,C,0.500,bar,,mmol/g,,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_n2_25_0_625_42,mof_uio66_nh2_sonochemical,N2,,25,C,0.625,bar,0.130,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=N2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
