record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-0_iso5518378_p4,mofxdb_hMOF-0,CH4,Methane,298.0,K,0.5,bar,0.176655,mol/kg,capacity,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518378.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p5,mofxdb_hMOF-0,CH4,Methane,298.0,K,0.9,bar,0.332851,mol/kg,capacity,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518378.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5737339_p1,mofxdb_hMOF-0,CH4,Methane,298.0,K,35.0,bar,146.915,cm3(STP)/cm3,capacity,5737339,10.1038/nchem.1192,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5737339.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p1_Xenon,mofxdb_hMOF-0,Xe,Xenon,273.0,K,1.0,bar,0.33967,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p1_Krypton,mofxdb_hMOF-0,Kr,Krypton,273.0,K,1.0,bar,0.416632,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p2_Xenon,mofxdb_hMOF-0,Xe,Xenon,273.0,K,5.0,bar,1.81249,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p2_Krypton,mofxdb_hMOF-0,Kr,Krypton,273.0,K,5.0,bar,2.18902,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p3_Xenon,mofxdb_hMOF-0,Xe,Xenon,273.0,K,10.0,bar,4.19895,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-0_iso6012944_p3_Krypton,mofxdb_hMOF-0,Kr,Krypton,273.0,K,10.0,bar,4.62955,mol/kg,capacity,6012944,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012944.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-0_iso6150830_p1,mofxdb_hMOF-0,H2,Hydrogen,77.0,K,2.0,bar,10.4232,g/l,capacity,6150830,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150830.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso6150830_p2,mofxdb_hMOF-0,H2,Hydrogen,77.0,K,100.0,bar,54.1326,g/l,capacity,6150830,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150830.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-7_iso5105128_p1,mofxdb_hMOF-7,CO2,CarbonDioxide,298.0,K,0.01,bar,1.20398,mol/kg,capacity,5105128,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105128.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
